,mgrno,mgrname,zipcode
0,110,A R ASSET MGMT INC,90210
1,115,033 ASSET MGMT LLC,02110
2,120,AAL CAPITAL MGMT,02116
3,125,ACF INDUSTRIES,63301
4,127,AEW CAPITAL MGMT INC,02210-2021
5,128,AEW/LP,02210-2021
6,130,AEW INC,02110
7,135,AIG INTL MGMT CO INC,10270
8,138,AIM FUNDS MGMT INC,10104
9,140,A I M MGMT GROUP INC,77046
10,145,ABANCO INVT LIMITED,02842
11,150,AFA FINANCIAL INC,89502
12,155,ABB INVT MGMT CORP,94104
13,160,ADELANTE CAPITAL MGMT LLC,94607
14,165,AMP ASSET MGMT PLC,EC2M 2DA
15,170,AARON FLECK & ASSOC LLC,06830
16,175,ANB INVT MGMT & TR,99801
17,180,AMEV ADVISORS INC,55164
18,185,ASB CAPITAL MGMT INC,20004-2589
19,190,AT&T INVMT MGMT CORP,36608
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
