,mgrno,mgrname,zipcode
0,110,A R ASSET MGMT INC,90210
1,115,033 ASSET MGMT LLC,02110
2,120,AAL CAPITAL MGMT,02116
3,125,ACF INDUSTRIES,63301
4,127,AEW CAPITAL MGMT INC,02210-2021
5,128,AEW/LP,02210-2021
6,130,AEW INC,02110
7,135,AIG INTL MGMT CO INC,10270
8,138,AIM FUNDS MGMT INC,10104
9,140,A I M MGMT GROUP INC,77046
10,145,ABANCO INVT LIMITED,02842
11,150,AFA FINANCIAL INC,89502
12,155,ABB INVT MGMT CORP,94104
13,160,ADELANTE CAPITAL MGMT LLC,94607
14,165,AMP ASSET MGMT PLC,EC2M 2DA
15,170,AARON FLECK & ASSOC LLC,06830
16,175,ANB INVT MGMT & TR,99801
17,180,AMEV ADVISORS INC,55164
18,185,ASB CAPITAL MGMT INC,20004-2589
19,190,AT&T INVMT MGMT CORP,36608
20,195,ABERDEEN ASSET MANAGERS LTD,AB10 1YG
21,200,ABERDEEN AMERICA INC,02109
22,205,ABNER HERRMAN & BROCK,07311
23,208,AGF FUNDS INCORPORATED,
24,210,ACADEMY CAPITAL MGMT INC,76710
25,220,ACADIAN ASSET MGMT INC,20814
26,221,ACCEL INTERNET/STRAT TECH ASSO,43016
27,222,ACCEL IV LP,08542
28,223,ACCEL V ASSOCIATES,08542
29,225,ACCEL VI ASSOCIATES LLC,94301
30,230,ABEL NOSER CORP,
31,240,ACCOUNT MGMT CORP,02116
32,250,ACCOUNT MGMT CORP,02116
33,260,ADAMS EXPRESS CO,21202
34,310,ADAMS HARKNESS & HILL INC,02109
35,350,ADELL HARRIMAN & CARPENTER,77056
36,400,ADDISON CAPITAL MGMT,19067
37,440,ADVANCE CAPITAL MGMT,10022
38,480,ADVANCED INV MGMT LP,90025
39,482,ADVANCED INV PARTNERS LLC,34619
40,483,ADVENT CAPITAL MANGEMENT,60654
41,484,ADVENT INTL CORP,02109
42,485,ADVEST GROUP INC,06103
43,488,ADVEST BANK & TRUST CO,06103
44,490,ADVEST INC,06103
45,493,ADVISORY RESEARCH INC,60601
46,495,AEGON USA INV MGMT INC,52499-5110
47,500,AELTUS INVT MGMT,06103-3602
48,505,AESOP CAPITAL PARTNERS LLC,94133
49,510,AETNA LIFE & CAS CO,10022
50,520,AETNA LF + CASUALTY CO,06836
51,560,AFFILIATED BANKSHARES/CO,10017
52,650,AID ASSOC FOR LUTHERANS,55415
53,700,AIRLIE GROUP L P,
54,710,AKRE CAPITAL MGMT,20117
55,800,ALBION FINANCIAL GROUP,84106
56,835,ALABAMA BANCORP,10152-0139
57,860,ALGER FRED ASSET MGMT,20814
58,885,ALGER FRED MGMT,10010
59,950,ALLCORP,10004
60,975,ALLEGHANY CORP,10152
61,980,ABN AMRO NORTH AMER NEWCO INC,60601
62,984,ALLEGHANY CORP,10152
63,1000,ALLEN HOLDING INC,10022
64,1025,ALLEN ARCHIE G JR,27040
65,1100,ALLEN & ASSOCIATES INV MGMT,10104
66,1170,ALLENDALE INSURANCE CO,93013
67,1250,ALLIANCE CAP MGMT CORP,02109
68,1275,ALLIANZ INVT CORP,92660
69,1285,ALLIED IRISH BANKS PLC,4
70,1300,ALLIED CORP,10153
71,1360,ALLSTATE AGENTS PENSION,60062
72,1363,ALLSTATE HOLDINGS INC,10010
73,1365,ALLSTATE INS CO,60062
74,1366,ALLSTATE CORP INV MGMT,94904
75,1368,ALLSTATE LIFE INSURANCE,60062
76,1369,ALLSTATE LIFE INS CO/NY,60062
77,1370,ALLSTATE RETIREMENT PLAN,
78,1371,ALPHA SOURCE ASSET MGMT,
79,1372,ALPINE ASSOC LTD PARTNERS,
80,1373,AMCORE BANK NA ROCKFRD,
81,1374,AMBASE CORP,
82,1375,ALPINE PARTNERS LP,
83,1378,ALPHA EQUITYUITY ADVISORS LLC,
84,1380,AMALGAMATED BANK OF NEW YORK,
85,1385,AMALGATRUST CO INC,
86,1390,AMERICAN BANK ST PAUL,
87,1400,AMER BANK & TRUST/PA,
88,1430,AMELIA PEABODY FOUND,
89,1450,AMERICAN CAPITAL CORP,
90,1500,AMARILLO NATIONAL BANK,
91,1790,AMER EXPRESS CO,
92,1900,AMER FAMILY MUTUAL INS,
93,2010,AFC HOLDING CO,
94,2080,AMER FLETCHER NATIONAL B&T,
95,2200,AMERICAN FUND ADVISOR,
96,2340,AMER GENERAL CORP,
97,2400,AMERICAN INFO TECH,
98,2470,AMER INTL GROUP INC,
99,2600,AMERICAN INV MANAGERS,
100,2700,AMERICAN NATIONAL B&T/CHATTA,
101,2730,AMER NATIONAL BK&TR/CHICAGO,
102,2740,AMERICAN NATIONAL B&T/DANVLL,
103,2790,AMERICAN NATIONAL B&T/MICH,
104,2830,AMER NATIONAL BK&TR/MUNCIE,
105,2868,BELL ATLANTIC ASSET MGMT,
106,2880,AMER PREMIER UNDERWRITRS,
107,2900,AMERICAN PROPERTY INVS,
108,2920,AMERICAN TRUST/HAWAII,
109,2950,AMERINDO INVMT ADVISOR,
110,2960,AMERICAP ADVISORS LLC,
111,2985,AMERISTOCK CORP,
112,3100,AMERITAS INVT ADVISOR IN,
113,3200,AMERITECH PENSION TRUST,
114,3510,AMER SECURITY BANK N A,
115,3650,AMER TEL & TEL INDEX FUND,
116,3700,AMERITRUST CO,
117,3720,AMERITRUST TEXAS CORP,
118,3845,AMES JAMES B,
119,3853,AMHERST INV MGMT INC,
120,3855,AMICA MUTUAL INS CO,
121,3858,AMICA PENSION FUND BD TR,
122,3860,AMOCO CORP,
123,3870,AMOSKEAG BANK SHARES INC,
124,3880,AMSOUTH BANCORP,
125,3900,ANALYTIC INV INC,
126,3940,ANALYTIC INV INC,
127,4100,ANCHOR CAPITAL ADVISOR,
128,4200,ANCORP BANCSHARES INC,
129,4300,&ERSON HOAGL& & CO,
130,4350,ANGELO GORDON & CO L P,
131,4360,ANGELO GORDON & DOHENY,
132,4400,&RECOM ADVISORS CORP,
133,4420,AON ADVISORS INC,
134,4422,APEX CAPITAL LLC,
135,4423,APPALOOSA MGMT L P,
136,4424,APPLETON PARTNERS INC,
137,4425,APODACA INV GROUP INC,
138,4430,APOLLO ADVISOR L P,
139,4440,ARCADIA INV MGMT CORP,
140,4442,ARBOR CAPITAL MGMT LLC,
141,4443,ARBOR CAPITAL MGMT LLC,
142,4444,ARCHERY CAPITAL LLC,
143,4445,ARDEN GROUP INC,
144,4450,ARDSLEY ADVISORY PARTNERS,
145,4480,AREA TRUST CO,
146,4500,ARGONAUT GROUP INC,
147,4520,ARGENT CAPITAL MGMT LLC,
148,4650,ARGUS INVT MGMT,
149,4675,ARGUS INV COUNSEL,
150,4690,ARIEL CAPITAL MGMT INC,
151,4693,ARISTEIA CAPITAL LLC,
152,4695,ARK ASSET MGMT CO,
153,4700,ARKWRIGHT MUTUAL INS CO,
154,4703,ARMSTRONG HENRY H ASSOCIATES,
155,4705,ARMSTRONG SHAW ASSOC INC,
